Area_ID,Latitude,Longitude,Especie,Solo,Prod_Anual_Ton,Biomassa_t_ha,Teor_Carbono_pct,Indice_Sustentabilidade,Custo_Producao_R$/ha,Preco_Venda_R$/Ton,CH4_emissao_kg_ha,N2O_emissao_kg_ha,Temp_Solo_C,Umidade_Solo_pct,Precipitacao_mm
B001,-3.0069763299138055,-58.86605532981274,Castanha,Gleissolo,24.65475352069863,17.850329127637426,48.424036720466795,0.8941889558825077,3003.876179617863,883.9234200442731,60.451115231783845,3.8925625832366557,32.142201881183496,42.28899287558447,2166.961703527579
B002,-2.0405740139666406,-59.42174303618323,Açaí,Gleissolo,32.32214153541288,20.65256431351506,48.40052451114564,0.6831989858987356,3758.0362759435425,1043.933547429895,58.29068674415488,3.0235182651198773,28.77540103727657,33.433039271439185,2181.8093625172464
B003,-2.737873785627281,-59.57203428639289,Açaí,Argissolo,31.41309563170157,16.824194488353378,61.88544061066858,0.5662440398924868,4342.916226281692,831.4905510717791,71.84438797382808,5.458851848983392,24.89743778491746,49.26666328334916,2199.8237556661356
B004,-2.2090613536874373,-60.12578370053567,Cupuaçu,Argissolo,28.250846788863285,18.305352614978972,48.95000023518342,0.6920020724476088,3846.796470694128,985.9613936833475,51.82981962022676,4.130885038117672,25.48887924631707,30.78419302373389,2135.6057329268183
B005,-2.150542125248047,-58.99749086997854,Cacau,Argissolo,28.3162399189424,18.289406748183467,55.88173813270727,0.5966440822182482,3549.7205464772783,848.3334403922217,67.67823191297249,4.214353980555763,27.849744349362155,45.672435840296686,2147.427265693225
B006,-2.436357672930866,-60.15783099777554,Cupuaçu,Neossolo,30.857033065128338,20.0520215400111,56.15683652608575,0.6778460577046951,3231.237939209403,923.1992624654075,54.06960869040975,6.18986455018971,24.85002812961331,36.806690107516985,2825.799996052091
B007,-3.3796111573899896,-59.3313745195368,Cacau,Latossolo,28.728881487358525,20.37114219864042,41.80136698122911,0.634159299319033,3364.1132982857416,863.1918739135835,79.75208291703717,3.9100739687548973,24.863336752718908,45.14411382151725,2205.0621324328285
B008,-3.191682747959949,-60.26632595930584,Cupuaçu,Argissolo,28.764207080769413,15.968455111402493,50.860893618762574,1.0,5040.221328968697,934.4666094619643,69.80972911709776,6.100169451208096,29.152247784952063,47.573319416281336,2419.6106436654704
B009,-2.2467756859450367,-60.072456618667225,Cacau,Argissolo,12.119358512753344,14.66152369746277,50.92574162885137,0.3847486878774302,3446.228559871569,785.5109091366272,59.73092402796363,5.108347852643847,25.886405691531596,43.42365060348031,2652.9851625637443
B010,-3.269321573208703,-60.06487554367148,Açaí,Neossolo,31.556589685054185,17.483645651935802,53.00934030781298,0.568759051697582,4143.203140253294,1086.4202645899754,67.87501832839986,5.453527592199205,26.76540485160496,44.553826960025766,2258.5668205722163
B011,-3.167935474409997,-59.86847491334576,Cupuaçu,Argissolo,34.73608567032665,21.22729162832956,54.695896199751346,0.8009172048390825,4256.377191218732,898.7409563863517,76.69184091925986,5.25083550295681,26.704182418895225,42.98495842217262,2039.6889220238666
B012,-2.945820943773758,-59.891605586658414,Castanha,Argissolo,26.42365254616015,27.329233602400667,51.835577506867935,0.3779692491002991,3183.9421845253173,1006.5544171425947,58.5100039762193,4.814195676530517,28.574710098103346,42.52106421706334,2084.6784727230192
B013,-2.570325821160516,-59.77116538867232,Castanha,Latossolo,27.431285233745598,18.25856977509287,49.25606625906176,0.7355230463571302,2754.820490931488,889.4803328555573,71.77462348228866,3.735725471016321,28.04214871382986,35.526619783389336,2126.0867807902237
B014,-2.005511124267179,-59.588730291459385,Açaí,Gleissolo,31.439433730441202,16.193030135454986,42.68099705233807,0.5515453732079943,4124.660272858974,828.6233991840277,56.89024652621809,5.660716208840804,29.030019260944655,38.69505206689045,2580.535853507856
B015,-2.1633583500131097,-60.03826176451794,Cupuaçu,Neossolo,35.36369122627029,26.728932766943835,52.83492734641832,0.5808725482058748,3064.7385957478964,977.7223502523175,43.54337453872425,4.534708003073833,28.08308060630666,47.07247827209093,2343.272360275837
B016,-2.972238924139657,-59.316849967319214,Açaí,Latossolo,20.74611765066441,18.704156951964116,42.954401057166365,0.3243535011730175,4150.078029266816,914.5062340220725,74.33430993912576,2.333854710687322,26.178980868356607,36.487602519293674,2077.3769927700814
